Date,Bitcoin_Value Prediction_NN ($)
10/9/23 23:59,46339.34286
10/10/23 23:59,46672.73351
10/11/23 23:59,45810.08014
10/12/23 23:59,46529.32881
10/13/23 23:59,46222.89967
10/14/23 23:59,45149.99596
10/15/23 23:59,44911.45169
10/16/23 23:59,45255.37691
10/17/23 23:59,45059.67934
10/18/23 23:59,47442.39331
10/19/23 23:59,50913.44302
10/20/23 23:59,50625.22515
10/21/23 23:59,48106.1345
10/22/23 23:59,49051.0706
10/23/23 23:59,48885.09662
10/24/23 23:59,49067.25576
10/25/23 23:59,49842.37151
10/26/23 23:59,51121.69876
10/27/23 23:59,49148.72397
10/28/23 23:59,48528.15915
10/29/23 23:59,48883.69812
10/30/23 23:59,48629.64788
10/31/23 23:59,48432.00752
11/1/23 23:59,50553.91758
11/2/23 23:59,51710.60269
11/3/23 23:59,52035.3818
11/4/23 23:59,54800.17803
11/5/23 23:59,56821.76635
11/6/23 23:59,56561.46021
11/7/23 23:59,56051.64697
11/8/23 23:59,56081.38883
11/9/23 23:59,56189.49584
11/10/23 23:59,56567.34797
11/11/23 23:59,58106.3101
11/12/23 23:59,60401.81653
11/13/23 23:59,60393.93801
11/14/23 23:59,60398.08207
11/15/23 23:59,59528.05459
11/16/23 23:59,58299.65453
11/17/23 23:59,58181.73473
11/18/23 23:59,59476.0224
11/19/23 23:59,59358.54514
11/20/23 23:59,54953.70572
11/21/23 23:59,52769.50193
11/22/23 23:59,53739.2394
11/23/23 23:59,53182.02186
11/24/23 23:59,54339.67508
11/25/23 23:59,55326.9255
11/26/23 23:59,52554.10021
11/27/23 23:59,49952.77016
11/28/23 23:59,51176.76138
11/29/23 23:59,51485.20537
11/30/23 23:59,51302.43457
12/1/23 23:59,50699.23687
12/2/23 23:59,50083.45225
12/3/23 23:59,50367.25815
12/4/23 23:59,50135.82731
12/5/23 23:59,51207.48278
12/6/23 23:59,52115.2005
12/7/23 23:59,52044.53332
12/8/23 23:59,52491.05561
12/9/23 23:59,52992.91546
12/10/23 23:59,52051.73522
12/11/23 23:59,51085.72852
12/12/23 23:59,49936.58903
12/13/23 23:59,48924.44511
12/14/23 23:59,48682.20901
12/15/23 23:59,48304.37037
12/16/23 23:59,47113.15968
12/17/23 23:59,45265.68224
12/18/23 23:59,45405.08865
12/19/23 23:59,46493.18587
12/20/23 23:59,46350.59827
12/21/23 23:59,45759.24092
12/22/23 23:59,45964.06494
12/23/23 23:59,45960.12082
12/24/23 23:59,47033.64874
12/25/23 23:59,48501.51104
12/26/23 23:59,48301.62742
12/27/23 23:59,47877.81781
12/28/23 23:59,47155.16838
12/29/23 23:59,45296.41661
12/30/23 23:59,46314.46672
